*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Feb 16 18:56:28 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  1.06E+00 |  0.933485 |  0.933485 |      6.00 |      5.00 |  0.092866 |  0.314567 |  1.00E-02 |      0.07 | 
|         1 |        74 |  9.77E-01 |  0.912014 |  0.933485 |      6.00 |      5.00 |  0.315707 |  0.345298 |  1.00E-02 |      0.26 | 
|         1 |       111 |  7.95E-01 |  0.929136 |  0.933485 |      6.00 |      5.00 |  0.250027 |  0.137374 |  1.00E-02 |      0.45 | 
|         1 |       148 |  6.77E-01 |  0.935500 |  0.935500 |      6.00 |      5.00 |  2.326325 |  1.044891 |  9.99E-03 |      0.62 | 
|         1 |       185 |  5.76E-01 |  0.930793 |  0.935500 |      6.00 |      5.00 |  0.242042 |  0.188360 |  9.99E-03 |      0.79 | 
|         1 |       222 |  5.15E-01 |  0.918570 |  0.935500 |      6.00 |      5.00 |  0.156195 |  0.140177 |  9.98E-03 |      0.98 | 
|         1 |       259 |  4.64E-01 |  0.925141 |  0.935500 |      6.00 |      5.00 |  0.264110 |  0.092974 |  9.98E-03 |      1.16 | 
|         1 |       296 |  4.26E-01 |  0.900422 |  0.935500 |      6.00 |      5.00 |  0.379757 |  0.135497 |  9.97E-03 |      1.34 | 
|         1 |       333 |  3.95E-01 |  0.914060 |  0.935500 |      6.00 |      5.00 |  0.530014 |  0.299391 |  9.96E-03 |      1.52 | 
|         1 |       370 |  3.67E-01 |  0.923746 |  0.935500 |      6.00 |      5.00 |  0.152824 |  0.103162 |  9.95E-03 |      1.70 | 
|         1 |       407 |  3.43E-01 |  0.928408 |  0.935500 |      6.00 |      5.00 |  0.275344 |  0.146300 |  9.94E-03 |      1.89 | 
|         2 |        37 |  9.57E-02 |  0.939633 |  0.939633 |      6.00 |      5.00 |  0.172978 |  0.177538 |  9.93E-03 |      1.95 | 
|         2 |        74 |  8.71E-02 |  0.937302 |  0.939633 |      6.00 |      5.00 |  0.294137 |  0.256008 |  9.92E-03 |      2.13 | 
|         2 |       111 |  8.14E-02 |  0.930722 |  0.939633 |      6.00 |      5.00 |  0.123233 |  0.045489 |  9.91E-03 |      2.30 | 
|         2 |       148 |  7.84E-02 |  0.915625 |  0.939633 |      6.00 |      5.00 |  1.694084 |  0.629566 |  9.90E-03 |      2.47 | 
|         2 |       185 |  7.22E-02 |  0.918676 |  0.939633 |      6.00 |      5.00 |  0.786377 |  0.490543 |  9.88E-03 |      2.65 | 
|         2 |       222 |  6.90E-02 |  0.928947 |  0.939633 |      6.00 |      5.00 |  0.122552 |  0.056835 |  9.87E-03 |      2.83 | 
|         2 |       259 |  6.42E-02 |  0.936036 |  0.939633 |      6.00 |      5.00 |  0.272620 |  0.166747 |  9.85E-03 |      3.01 | 
|         2 |       296 |  6.16E-02 |  0.930523 |  0.939633 |      6.00 |      5.00 |  0.567839 |  0.253449 |  9.84E-03 |      3.20 | 
