*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Feb 16 19:21:23 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  1.08E+00 |  0.934497 |  0.934497 |      8.00 |      7.00 |  0.056941 |  0.252155 |  1.00E-02 |      0.12 | 
|         1 |        74 |  1.06E+00 |  0.938038 |  0.938038 |      8.00 |      7.00 |  0.035526 |  0.185292 |  1.00E-02 |      0.34 | 
|         1 |       111 |  1.08E+00 |  0.934585 |  0.938038 |      8.00 |      7.00 |  0.041923 |  0.199312 |  1.00E-02 |      0.57 | 
|         1 |       148 |  1.03E+00 |  0.945019 |  0.945019 |      8.00 |      7.00 |  0.262521 |  0.254423 |  9.99E-03 |      0.80 | 
|         1 |       185 |  9.27E-01 |  0.944776 |  0.945019 |      8.00 |      7.00 |  0.605741 |  0.394938 |  9.99E-03 |      1.03 | 
|         1 |       222 |  8.54E-01 |  0.952844 |  0.952844 |      8.00 |      7.00 |  0.493785 |  0.581066 |  9.98E-03 |      1.26 | 
|         1 |       259 |  7.97E-01 |  0.942541 |  0.952844 |      8.00 |      7.00 |  0.250632 |  0.254065 |  9.98E-03 |      1.49 | 
|         1 |       296 |  7.34E-01 |  0.931321 |  0.952844 |      8.00 |      7.00 |  0.189651 |  0.152464 |  9.97E-03 |      1.71 | 
|         1 |       333 |  6.76E-01 |  0.923808 |  0.952844 |      8.00 |      7.00 |  0.846419 |  0.591072 |  9.96E-03 |      1.94 | 
|         1 |       370 |  6.40E-01 |  0.921080 |  0.952844 |      8.00 |      7.00 |  0.508147 |  0.211635 |  9.95E-03 |      2.16 | 
|         1 |       407 |  5.96E-01 |  0.918210 |  0.952844 |      8.00 |      7.00 |  0.349206 |  0.207181 |  9.94E-03 |      2.39 | 
|         2 |        37 |  2.12E-01 |  0.929494 |  0.952844 |      8.00 |      7.00 |  0.504697 |  0.215550 |  9.93E-03 |      2.50 | 
|         2 |        74 |  1.86E-01 |  0.897109 |  0.952844 |      8.00 |      7.00 |  0.211195 |  0.121527 |  9.92E-03 |      2.74 | 
|         2 |       111 |  1.74E-01 |  0.912921 |  0.952844 |      8.00 |      7.00 |  0.369201 |  0.132307 |  9.91E-03 |      2.97 | 
|         2 |       148 |  1.84E-01 |  0.888661 |  0.952844 |      8.00 |      7.00 |  0.555679 |  0.120117 |  9.90E-03 |      3.20 | 
|         2 |       185 |  1.78E-01 |  0.906227 |  0.952844 |      8.00 |      7.00 |  0.109692 |  0.190901 |  9.88E-03 |      3.44 | 
|         2 |       222 |  1.72E-01 |  0.898167 |  0.952844 |      8.00 |      7.00 |  0.099351 |  0.069153 |  9.87E-03 |      3.68 | 
|         2 |       259 |  1.66E-01 |  0.890534 |  0.952844 |      8.00 |      7.00 |  0.354271 |  0.126611 |  9.85E-03 |      3.91 | 
|         2 |       296 |  1.63E-01 |  0.889410 |  0.952844 |      8.00 |      7.00 |  0.815897 |  0.806321 |  9.84E-03 |      4.14 | 
|         2 |       333 |  1.59E-01 |  0.902411 |  0.952844 |      8.00 |      7.00 |  0.219567 |  0.110410 |  9.82E-03 |      4.38 | 
|         2 |       370 |  1.55E-01 |  0.914945 |  0.952844 |      8.00 |      7.00 |  0.242994 |  0.232409 |  9.80E-03 |      4.61 | 
|         2 |       407 |  1.53E-01 |  0.897974 |  0.952844 |      8.00 |      7.00 |  0.208101 |  0.119876 |  9.78E-03 |      4.84 | 
|         3 |        37 |  1.38E-01 |  0.851960 |  0.952844 |      8.00 |      7.00 |  0.943408 |  0.358114 |  9.76E-03 |      4.96 | 
|         3 |        74 |  1.29E-01 |  0.891424 |  0.952844 |      8.00 |      7.00 |  0.982397 |  0.211450 |  9.74E-03 |      5.19 | 
|         3 |       111 |  1.29E-01 |  0.890670 |  0.952844 |      8.00 |      7.00 |  0.295752 |  0.230631 |  9.72E-03 |      5.43 | 
|         3 |       148 |  1.29E-01 |  0.892637 |  0.952844 |      8.00 |      7.00 |  0.143831 |  0.094402 |  9.69E-03 |      5.67 | 
|         3 |       185 |  1.28E-01 |  0.903278 |  0.952844 |      8.00 |      7.00 |  1.039392 |  0.170168 |  9.67E-03 |      5.90 | 
|         3 |       222 |  1.31E-01 |  0.917235 |  0.952844 |      8.00 |      7.00 |  0.228941 |  0.161939 |  9.65E-03 |      6.13 | 
|         3 |       259 |  1.27E-01 |  0.903878 |  0.952844 |      8.00 |      7.00 |  0.218764 |  0.110928 |  9.62E-03 |      6.37 | 
|         3 |       296 |  1.24E-01 |  0.913657 |  0.952844 |      8.00 |      7.00 |  0.086817 |  0.111520 |  9.59E-03 |      6.60 | 
|         3 |       333 |  1.22E-01 |  0.932238 |  0.952844 |      8.00 |      7.00 |  0.418527 |  0.162356 |  9.57E-03 |      6.83 | 
|         3 |       370 |  1.19E-01 |  0.931212 |  0.952844 |      8.00 |      7.00 |  0.332578 |  0.123114 |  9.54E-03 |      7.06 | 
|         3 |       407 |  1.16E-01 |  0.931876 |  0.952844 |      8.00 |      7.00 |  0.510120 |  0.388657 |  9.51E-03 |      7.28 | 
|         4 |        37 |  8.34E-02 |  0.944977 |  0.952844 |      8.00 |      7.00 |  0.989513 |  0.523472 |  9.48E-03 |      7.40 | 
|         4 |        74 |  1.07E-01 |  0.945225 |  0.952844 |      8.00 |      7.00 |  0.861323 |  0.969193 |  9.45E-03 |      7.63 | 
|         4 |       111 |  1.58E-01 |  0.935473 |  0.952844 |      8.00 |      7.00 |  0.550868 |  0.317055 |  9.42E-03 |      7.86 | 
|         4 |       148 |  1.46E-01 |  0.934296 |  0.952844 |      8.00 |      7.00 |  0.510540 |  0.176861 |  9.39E-03 |      8.09 | 
|         4 |       185 |  1.29E-01 |  0.923991 |  0.952844 |      8.00 |      7.00 |  0.391222 |  0.279830 |  9.35E-03 |      8.32 | 
|         4 |       222 |  1.19E-01 |  0.926090 |  0.952844 |      8.00 |      7.00 |  0.550707 |  0.335865 |  9.32E-03 |      8.54 | 
|         4 |       259 |  1.12E-01 |  0.927049 |  0.952844 |      8.00 |      7.00 |  1.093904 |  0.199015 |  9.29E-03 |      8.77 | 
|         4 |       296 |  1.04E-01 |  0.915633 |  0.952844 |      8.00 |      7.00 |  0.437446 |  0.226122 |  9.25E-03 |      8.99 | 
|         4 |       333 |  9.65E-02 |  0.931868 |  0.952844 |      8.00 |      7.00 |  0.221062 |  0.061331 |  9.21E-03 |      9.22 | 
|         4 |       370 |  9.67E-02 |  0.957740 |  0.957740 |      8.00 |      7.00 |  3.021729 |  0.305320 |  9.18E-03 |      9.45 | 
|         4 |       407 |  9.47E-02 |  0.930762 |  0.957740 |      8.00 |      7.00 |  0.269503 |  0.310955 |  9.14E-03 |      9.69 | 
|         5 |        37 |  2.11E-01 |  0.951071 |  0.957740 |      8.00 |      7.00 |  0.614402 |  0.339325 |  9.10E-03 |      9.80 | 
|         5 |        74 |  2.30E-01 |  0.948006 |  0.957740 |      8.00 |      7.00 |  0.645895 |  0.252386 |  9.06E-03 |     10.03 | 
|         5 |       111 |  2.31E-01 |  0.939676 |  0.957740 |      8.00 |      7.00 |  0.288610 |  0.233441 |  9.02E-03 |     10.25 | 
|         5 |       148 |  2.02E-01 |  0.931880 |  0.957740 |      8.00 |      7.00 |  0.204862 |  0.204318 |  8.98E-03 |     10.47 | 
|         5 |       185 |  1.79E-01 |  0.936831 |  0.957740 |      8.00 |      7.00 |  0.393242 |  0.191259 |  8.94E-03 |     10.69 | 
|         5 |       222 |  1.58E-01 |  0.933530 |  0.957740 |      8.00 |      7.00 |  0.141437 |  0.060505 |  8.90E-03 |     10.92 | 
|         5 |       259 |  1.49E-01 |  0.944693 |  0.957740 |      8.00 |      7.00 |  0.430490 |  0.120602 |  8.86E-03 |     11.14 | 
|         5 |       296 |  1.37E-01 |  0.927026 |  0.957740 |      8.00 |      7.00 |  0.416030 |  0.228123 |  8.82E-03 |     11.36 | 
|         5 |       333 |  1.27E-01 |  0.924307 |  0.957740 |      8.00 |      7.00 |  0.301760 |  0.127462 |  8.77E-03 |     11.58 | 
|         5 |       370 |  1.20E-01 |  0.931799 |  0.957740 |      8.00 |      7.00 |  0.071353 |  0.065498 |  8.73E-03 |     11.81 | 
|         5 |       407 |  1.16E-01 |  0.933779 |  0.957740 |      8.00 |      7.00 |  0.587386 |  0.244069 |  8.68E-03 |     12.05 | 
|         6 |        37 |  2.45E-01 |  0.930354 |  0.957740 |      8.00 |      7.00 |  0.909789 |  0.186173 |  8.64E-03 |     12.16 | 
|         6 |        74 |  1.96E-01 |  0.927611 |  0.957740 |      8.00 |      7.00 |  0.871843 |  0.367649 |  8.59E-03 |     12.38 | 
|         6 |       111 |  1.76E-01 |  0.934063 |  0.957740 |      8.00 |      7.00 |  0.246594 |  0.100530 |  8.54E-03 |     12.61 | 
|         6 |       148 |  1.70E-01 |  0.926575 |  0.957740 |      8.00 |      7.00 |  0.496152 |  0.167236 |  8.50E-03 |     12.83 | 
|         6 |       185 |  1.55E-01 |  0.932870 |  0.957740 |      8.00 |      7.00 |  0.185174 |  0.118823 |  8.45E-03 |     13.06 | 
|         6 |       222 |  1.37E-01 |  0.938059 |  0.957740 |      8.00 |      7.00 |  0.590998 |  0.143339 |  8.40E-03 |     13.29 | 
|         6 |       259 |  1.26E-01 |  0.931442 |  0.957740 |      8.00 |      7.00 |  0.552308 |  0.187216 |  8.35E-03 |     13.52 | 
|         6 |       296 |  1.17E-01 |  0.934321 |  0.957740 |      8.00 |      7.00 |  0.097380 |  0.072116 |  8.30E-03 |     13.76 | 
|         6 |       333 |  1.08E-01 |  0.936109 |  0.957740 |      8.00 |      7.00 |  0.324670 |  0.312608 |  8.25E-03 |     13.99 | 
|         6 |       370 |  1.01E-01 |  0.929728 |  0.957740 |      8.00 |      7.00 |  0.849829 |  0.325529 |  8.20E-03 |     14.23 | 
|         6 |       407 |  9.53E-02 |  0.925974 |  0.957740 |      8.00 |      7.00 |  0.408278 |  0.114549 |  8.15E-03 |     14.47 | 
|         7 |        37 |  1.36E-01 |  0.946667 |  0.957740 |      8.00 |      7.00 |  0.174257 |  0.089174 |  8.09E-03 |     14.58 | 
|         7 |        74 |  1.32E-01 |  0.957374 |  0.957740 |      8.00 |      7.00 |  1.678422 |  0.898033 |  8.04E-03 |     14.80 | 
|         7 |       111 |  1.34E-01 |  0.947874 |  0.957740 |      8.00 |      7.00 |  0.411732 |  0.177851 |  7.99E-03 |     15.02 | 
|         7 |       148 |  1.50E-01 |  0.952698 |  0.957740 |      8.00 |      7.00 |  1.367059 |  1.186587 |  7.93E-03 |     15.24 | 
|         7 |       185 |  1.61E-01 |  0.951734 |  0.957740 |      8.00 |      7.00 |  0.494980 |  0.343966 |  7.88E-03 |     15.46 | 
|         7 |       222 |  1.58E-01 |  0.944860 |  0.957740 |      8.00 |      7.00 |  0.806026 |  0.562401 |  7.82E-03 |     15.69 | 
|         7 |       259 |  1.48E-01 |  0.952800 |  0.957740 |      8.00 |      7.00 |  0.403268 |  0.178310 |  7.77E-03 |     15.90 | 
|         7 |       296 |  1.37E-01 |  0.939256 |  0.957740 |      8.00 |      7.00 |  0.844481 |  0.463320 |  7.71E-03 |     16.13 | 
|         7 |       333 |  1.35E-01 |  0.939887 |  0.957740 |      8.00 |      7.00 |  0.706570 |  0.461387 |  7.66E-03 |     16.35 | 
|         7 |       370 |  1.26E-01 |  0.940442 |  0.957740 |      8.00 |      7.00 |  0.474136 |  0.226769 |  7.60E-03 |     16.57 | 
|         7 |       407 |  1.19E-01 |  0.944634 |  0.957740 |      8.00 |      7.00 |  0.650697 |  0.113483 |  7.54E-03 |     16.79 | 
|         8 |        37 |  6.47E-02 |  0.943919 |  0.957740 |      8.00 |      7.00 |  0.775889 |  0.331567 |  7.49E-03 |     16.91 | 
|         8 |        74 |  1.09E-01 |  0.932697 |  0.957740 |      8.00 |      7.00 |  0.377686 |  0.218096 |  7.43E-03 |     17.13 | 
|         8 |       111 |  1.04E-01 |  0.936317 |  0.957740 |      8.00 |      7.00 |  0.909495 |  0.604647 |  7.37E-03 |     17.35 | 
|         8 |       148 |  1.13E-01 |  0.941149 |  0.957740 |      8.00 |      7.00 |  0.813271 |  0.241490 |  7.31E-03 |     17.57 | 
|         8 |       185 |  1.05E-01 |  0.937974 |  0.957740 |      8.00 |      7.00 |  0.574334 |  0.237713 |  7.25E-03 |     17.80 | 
|         8 |       222 |  9.84E-02 |  0.947591 |  0.957740 |      8.00 |      7.00 |  3.993054 |  1.407665 |  7.19E-03 |     18.03 | 
|         8 |       259 |  1.04E-01 |  0.949843 |  0.957740 |      8.00 |      7.00 |  0.264950 |  0.069182 |  7.13E-03 |     18.24 | 
|         8 |       296 |  9.75E-02 |  0.942773 |  0.957740 |      8.00 |      7.00 |  0.436408 |  0.187312 |  7.07E-03 |     18.47 | 
|         8 |       333 |  9.16E-02 |  0.941354 |  0.957740 |      8.00 |      7.00 |  0.363061 |  0.148365 |  7.01E-03 |     18.69 | 
|         8 |       370 |  8.77E-02 |  0.940671 |  0.957740 |      8.00 |      7.00 |  0.902204 |  0.623039 |  6.95E-03 |     18.92 | 
