*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Thu Mar  7 16:50:17 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        74 |  9.69E-01 |  0.886487 |  0.886487 |      6.00 |      5.00 |  0.849486 |  0.459402 |  1.00E-02 |      0.09 | 
|         1 |       148 |  6.37E-01 |  0.833613 |  0.886487 |      6.00 |      5.00 |  0.654734 |  0.190760 |  1.00E-02 |      0.29 | 
|         1 |       222 |  4.76E-01 |  0.863099 |  0.886487 |      6.00 |      5.00 |  0.210096 |  0.265628 |  1.00E-02 |      0.49 | 
|         1 |       296 |  3.77E-01 |  0.889376 |  0.889376 |      6.00 |      5.00 |  0.137789 |  0.123759 |  9.99E-03 |      0.66 | 
|         1 |       370 |  3.11E-01 |  0.839292 |  0.889376 |      6.00 |      5.00 |  0.154490 |  0.136148 |  9.99E-03 |      0.84 | 
|         1 |       444 |  2.66E-01 |  0.873289 |  0.889376 |      6.00 |      5.00 |  0.140595 |  0.121149 |  9.98E-03 |      1.06 | 
|         1 |       518 |  2.36E-01 |  0.894217 |  0.894217 |      6.00 |      5.00 |  0.271559 |  0.205833 |  9.98E-03 |      1.27 | 
|         1 |       592 |  2.13E-01 |  0.887294 |  0.894217 |      6.00 |      5.00 |  0.201796 |  0.134828 |  9.97E-03 |      1.47 | 
|         1 |       666 |  1.93E-01 |  0.860155 |  0.894217 |      6.00 |      5.00 |  0.125958 |  0.135173 |  9.96E-03 |      1.64 | 
|         1 |       740 |  1.77E-01 |  0.879467 |  0.894217 |      6.00 |      5.00 |  0.396183 |  0.130905 |  9.96E-03 |      1.82 | 
|         1 |       814 |  1.65E-01 |  0.877375 |  0.894217 |      6.00 |      5.00 |  0.300902 |  0.246476 |  9.95E-03 |      2.00 | 
|         1 |       823 |  1.63E-01 |  0.880458 |  0.894217 |      6.00 |      5.00 |  0.666128 |  0.167135 |  9.94E-03 |      2.11 | 
|         2 |        74 |  5.55E-02 |  0.905512 |  0.905512 |      6.00 |      5.00 |  0.086161 |  0.055737 |  9.93E-03 |      2.19 | 
|         2 |       148 |  4.91E-02 |  0.887937 |  0.905512 |      6.00 |      5.00 |  0.364911 |  0.177460 |  9.92E-03 |      2.37 | 
|         2 |       222 |  4.22E-02 |  0.881004 |  0.905512 |      6.00 |      5.00 |  0.137869 |  0.125714 |  9.91E-03 |      2.54 | 
|         2 |       296 |  3.98E-02 |  0.897784 |  0.905512 |      6.00 |      5.00 |  0.163645 |  0.141686 |  9.90E-03 |      2.72 | 
|         2 |       370 |  3.73E-02 |  0.868638 |  0.905512 |      6.00 |      5.00 |  0.241102 |  0.190507 |  9.88E-03 |      2.89 | 
|         2 |       444 |  3.60E-02 |  0.880825 |  0.905512 |      6.00 |      5.00 |  0.490875 |  0.402953 |  9.87E-03 |      3.07 | 
|         2 |       518 |  3.66E-02 |  0.863239 |  0.905512 |      6.00 |      5.00 |  0.165077 |  0.168126 |  9.85E-03 |      3.25 | 
|         2 |       592 |  3.50E-02 |  0.860950 |  0.905512 |      6.00 |      5.00 |  0.181841 |  0.090125 |  9.84E-03 |      3.44 | 
|         2 |       666 |  3.32E-02 |  0.867343 |  0.905512 |      6.00 |      5.00 |  0.239427 |  0.246325 |  9.82E-03 |      3.63 | 
|         2 |       740 |  3.14E-02 |  0.848000 |  0.905512 |      6.00 |      5.00 |  0.107593 |  0.096681 |  9.80E-03 |      3.84 | 
|         2 |       814 |  3.04E-02 |  0.911057 |  0.911057 |      6.00 |      5.00 |  0.531368 |  0.295847 |  9.78E-03 |      4.05 | 
|         2 |       823 |  3.04E-02 |  0.867533 |  0.911057 |      6.00 |      5.00 |  0.590393 |  0.415624 |  9.78E-03 |      4.17 | 
|         3 |        74 |  3.17E-02 |  0.874911 |  0.911057 |      6.00 |      5.00 |  0.054313 |  0.048073 |  9.76E-03 |      4.26 | 
|         3 |       148 |  2.25E-02 |  0.857040 |  0.911057 |      6.00 |      5.00 |  0.093006 |  0.061514 |  9.74E-03 |      4.43 | 
|         3 |       222 |  1.97E-02 |  0.893663 |  0.911057 |      6.00 |      5.00 |  0.209364 |  0.079733 |  9.72E-03 |      4.66 | 
|         3 |       296 |  1.81E-02 |  0.868401 |  0.911057 |      6.00 |      5.00 |  0.104220 |  0.117105 |  9.69E-03 |      4.86 | 
|         3 |       370 |  1.77E-02 |  0.891241 |  0.911057 |      6.00 |      5.00 |  0.232188 |  0.154925 |  9.67E-03 |      5.04 | 
|         3 |       444 |  1.89E-02 |  0.898572 |  0.911057 |      6.00 |      5.00 |  0.106368 |  0.097280 |  9.65E-03 |      5.22 | 
|         3 |       518 |  1.80E-02 |  0.845325 |  0.911057 |      6.00 |      5.00 |  0.084698 |  0.053519 |  9.62E-03 |      5.40 | 
|         3 |       592 |  1.74E-02 |  0.885977 |  0.911057 |      6.00 |      5.00 |  0.186050 |  0.173200 |  9.60E-03 |      5.58 | 
|         3 |       666 |  1.67E-02 |  0.875704 |  0.911057 |      6.00 |      5.00 |  0.243275 |  0.078194 |  9.57E-03 |      5.75 | 
|         3 |       740 |  1.67E-02 |  0.826440 |  0.911057 |      6.00 |      5.00 |  0.166389 |  0.071983 |  9.54E-03 |      5.93 | 
|         3 |       814 |  1.62E-02 |  0.813583 |  0.911057 |      6.00 |      5.00 |  0.261904 |  0.210862 |  9.51E-03 |      6.11 | 
|         3 |       823 |  1.61E-02 |  0.830097 |  0.911057 |      6.00 |      5.00 |  0.178745 |  0.077814 |  9.51E-03 |      6.22 | 
|         4 |        74 |  1.23E-02 |  0.868687 |  0.911057 |      6.00 |      5.00 |  0.238688 |  0.133215 |  9.48E-03 |      6.31 | 
|         4 |       148 |  1.22E-02 |  0.885121 |  0.911057 |      6.00 |      5.00 |  0.173446 |  0.096278 |  9.45E-03 |      6.48 | 
|         4 |       222 |  1.23E-02 |  0.907299 |  0.911057 |      6.00 |      5.00 |  0.113268 |  0.056557 |  9.42E-03 |      6.66 | 
|         4 |       296 |  1.15E-02 |  0.845400 |  0.911057 |      6.00 |      5.00 |  0.155560 |  0.106375 |  9.39E-03 |      6.83 | 
|         4 |       370 |  1.09E-02 |  0.850817 |  0.911057 |      6.00 |      5.00 |  0.148712 |  0.069861 |  9.36E-03 |      7.01 | 
|         4 |       444 |  1.05E-02 |  0.862620 |  0.911057 |      6.00 |      5.00 |  0.377047 |  0.085471 |  9.32E-03 |      7.19 | 
|         4 |       518 |  1.02E-02 |  0.833394 |  0.911057 |      6.00 |      5.00 |  0.049223 |  0.055000 |  9.29E-03 |      7.37 | 
|         4 |       592 |  1.00E-02 |  0.892050 |  0.911057 |      6.00 |      5.00 |  0.224049 |  0.122306 |  9.25E-03 |      7.55 | 
|         4 |       666 |  4.43E-02 |  0.909815 |  0.911057 |      6.00 |      5.00 |  0.324639 |  0.419795 |  9.22E-03 |      7.72 | 
|         4 |       740 |  8.32E-02 |  0.875445 |  0.911057 |      6.00 |      5.00 |  1.255261 |  0.427535 |  9.18E-03 |      7.90 | 
|         4 |       814 |  1.06E-01 |  0.895341 |  0.911057 |      6.00 |      5.00 |  0.335109 |  0.352601 |  9.15E-03 |      8.07 | 
|         4 |       823 |  1.10E-01 |  0.898739 |  0.911057 |      6.00 |      5.00 |  1.598173 |  0.388276 |  9.14E-03 |      8.18 | 
|         5 |        74 |  2.51E-01 |  0.895977 |  0.911057 |      6.00 |      5.00 |  1.039211 |  0.387298 |  9.10E-03 |      8.27 | 
|         5 |       148 |  2.09E-01 |  0.862579 |  0.911057 |      6.00 |      5.00 |  0.808976 |  0.274409 |  9.06E-03 |      8.47 | 
|         5 |       222 |  1.98E-01 |  0.880688 |  0.911057 |      6.00 |      5.00 |  2.240030 |  1.321843 |  9.03E-03 |      8.66 | 
|         5 |       296 |  1.79E-01 |  0.874042 |  0.911057 |      6.00 |      5.00 | 41.426338 |  1.968391 |  8.99E-03 |      8.84 | 
|         5 |       370 |  2.55E-01 |  0.898354 |  0.911057 |      6.00 |      5.00 |  1.324574 |  0.661876 |  8.94E-03 |      9.01 | 
|         5 |       444 |  2.44E-01 |  0.888571 |  0.911057 |      6.00 |      5.00 |  0.681126 |  0.347104 |  8.90E-03 |      9.19 | 
|         5 |       518 |  2.27E-01 |  0.903826 |  0.911057 |      6.00 |      5.00 |  0.279217 |  0.207047 |  8.86E-03 |      9.36 | 
|         5 |       592 |  2.32E-01 |  0.908960 |  0.911057 |      6.00 |      5.00 |  0.586562 |  0.788801 |  8.82E-03 |      9.54 | 
|         5 |       666 |  2.20E-01 |  0.904378 |  0.911057 |      6.00 |      5.00 |  0.403564 |  0.394841 |  8.78E-03 |      9.71 | 
|         5 |       740 |  2.07E-01 |  0.899535 |  0.911057 |      6.00 |      5.00 |  0.323552 |  0.181483 |  8.73E-03 |      9.88 | 
|         5 |       814 |  1.97E-01 |  0.903017 |  0.911057 |      6.00 |      5.00 |  0.420549 |  0.296470 |  8.69E-03 |     10.06 | 
|         5 |       823 |  1.96E-01 |  0.906977 |  0.911057 |      6.00 |      5.00 |  1.089712 |  0.841858 |  8.68E-03 |     10.17 | 
|         6 |        74 |  1.03E-01 |  0.891688 |  0.911057 |      6.00 |      5.00 |  1.806324 |  1.087989 |  8.64E-03 |     10.25 | 
|         6 |       148 |  8.61E-02 |  0.859793 |  0.911057 |      6.00 |      5.00 |  4.718707 |  2.056216 |  8.59E-03 |     10.42 | 
|         6 |       222 |  8.30E-02 |  0.909027 |  0.911057 |      6.00 |      5.00 |  0.409786 |  0.427492 |  8.54E-03 |     10.60 | 
|         6 |       296 |  7.98E-02 |  0.906304 |  0.911057 |      6.00 |      5.00 |  0.628732 |  0.554549 |  8.50E-03 |     10.77 | 
|         6 |       370 |  8.50E-02 |  0.904168 |  0.911057 |      6.00 |      5.00 |  0.600779 |  0.322918 |  8.45E-03 |     10.94 | 
|         6 |       444 |  9.17E-02 |  0.912167 |  0.912167 |      6.00 |      5.00 |  1.570073 |  1.005615 |  8.40E-03 |     11.12 | 
|         6 |       518 |  9.53E-02 |  0.900531 |  0.912167 |      6.00 |      5.00 |  1.233659 |  0.381725 |  8.35E-03 |     11.29 | 
|         6 |       592 |  1.04E-01 |  0.892143 |  0.912167 |      6.00 |      5.00 |  2.150303 |  0.926271 |  8.30E-03 |     11.46 | 
|         6 |       666 |  1.10E-01 |  0.903134 |  0.912167 |      6.00 |      5.00 |  0.777405 |  1.141100 |  8.25E-03 |     11.64 | 
|         6 |       740 |  1.08E-01 |  0.910453 |  0.912167 |      6.00 |      5.00 |  0.805069 |  0.450642 |  8.20E-03 |     11.81 | 
|         6 |       814 |  1.27E-01 |  0.891320 |  0.912167 |      6.00 |      5.00 |  0.994885 |  0.497170 |  8.15E-03 |     11.99 | 
|         6 |       823 |  1.29E-01 |  0.858603 |  0.912167 |      6.00 |      5.00 |  2.074319 |  0.644502 |  8.15E-03 |     12.10 | 
|         7 |        74 |  5.75E-01 |  0.908960 |  0.912167 |      6.00 |      5.00 |  3.110104 |  1.176632 |  8.09E-03 |     12.18 | 
|         7 |       148 |  5.11E-01 |  0.903458 |  0.912167 |      6.00 |      5.00 |  1.601864 |  0.567404 |  8.04E-03 |     12.35 | 
|         7 |       222 |  4.48E-01 |  0.901230 |  0.912167 |      6.00 |      5.00 |  1.305271 |  0.964621 |  7.99E-03 |     12.52 | 
|         7 |       296 |  4.04E-01 |  0.907881 |  0.912167 |      6.00 |      5.00 |  1.029282 |  0.346062 |  7.94E-03 |     12.70 | 
|         7 |       370 |  3.94E-01 |  0.888336 |  0.912167 |      6.00 |      5.00 |  3.188358 |  0.671998 |  7.88E-03 |     12.87 | 
|         7 |       444 |  3.61E-01 |  0.901300 |  0.912167 |      6.00 |      5.00 |  0.615071 |  0.144550 |  7.83E-03 |     13.04 | 
|         7 |       518 |  3.30E-01 |  0.900585 |  0.912167 |      6.00 |      5.00 |  1.958667 |  0.549854 |  7.77E-03 |     13.22 | 
|         7 |       592 |  3.14E-01 |  0.894993 |  0.912167 |      6.00 |      5.00 |  1.192076 |  0.317773 |  7.72E-03 |     13.39 | 
