*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Mar  9 09:24:55 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        74 |  7.15E-01 |  0.884315 |  0.884315 |     19.82 |     20.24 |  0.196645 |  0.243595 |  1.00E-02 |      0.24 | 
|         1 |       148 |  4.65E-01 |  0.883853 |  0.884315 |     20.20 |     20.20 |  0.538090 |  1.250034 |  1.00E-02 |      0.99 | 
|         1 |       222 |  3.99E-01 |  0.885431 |  0.885431 |     19.74 |     19.57 |  0.358026 |  0.695138 |  1.00E-02 |      1.66 | 
|         1 |       296 |  3.42E-01 |  0.895701 |  0.895701 |     19.73 |     19.38 |  0.119730 |  0.182089 |  9.99E-03 |      2.36 | 
|         1 |       370 |  2.99E-01 |  0.903874 |  0.903874 |     19.62 |     19.05 |  0.292467 |  0.434908 |  9.99E-03 |      3.05 | 
|         1 |       444 |  2.86E-01 |  0.897344 |  0.903874 |     19.61 |     18.88 |  0.115849 |  0.131247 |  9.98E-03 |      3.77 | 
|         1 |       518 |  2.56E-01 |  0.902788 |  0.903874 |     19.70 |     18.78 |  0.292085 |  0.322397 |  9.98E-03 |      4.58 | 
|         1 |       592 |  2.33E-01 |  0.902229 |  0.903874 |     19.80 |     18.73 |  0.232259 |  0.298277 |  9.97E-03 |      5.30 | 
|         1 |       666 |  2.14E-01 |  0.905225 |  0.905225 |     19.85 |     18.67 |  0.128015 |  0.150212 |  9.96E-03 |      6.01 | 
|         1 |       740 |  2.04E-01 |  0.901449 |  0.905225 |     19.90 |     18.63 |  0.256610 |  0.213040 |  9.96E-03 |      6.74 | 
|         1 |       814 |  1.93E-01 |  0.884713 |  0.905225 |     19.93 |     18.61 |  0.356593 |  0.178694 |  9.95E-03 |      7.47 | 
|         1 |       823 |  1.92E-01 |  0.882437 |  0.905225 |     19.94 |     18.61 |  0.399250 |  0.341600 |  9.94E-03 |      8.00 | 
|         2 |        74 |  5.59E-02 |  0.896772 |  0.905225 |     20.49 |     18.38 |  0.434518 |  0.390184 |  9.93E-03 |      8.24 | 
|         2 |       148 |  5.98E-02 |  0.901217 |  0.905225 |     20.42 |     18.24 |  0.131594 |  0.121837 |  9.92E-03 |      8.99 | 
|         2 |       222 |  6.59E-02 |  0.883051 |  0.905225 |     20.40 |     18.39 |  0.409752 |  0.330928 |  9.91E-03 |      9.71 | 
|         2 |       296 |  6.81E-02 |  0.882312 |  0.905225 |     20.55 |     18.42 |  0.194965 |  0.158121 |  9.90E-03 |     10.46 | 
|         2 |       370 |  6.29E-02 |  0.899820 |  0.905225 |     20.75 |     18.52 |  0.579642 |  0.581017 |  9.88E-03 |     11.22 | 
|         2 |       444 |  6.01E-02 |  0.884433 |  0.905225 |     20.93 |     18.61 |  0.192420 |  0.164283 |  9.87E-03 |     12.00 | 
|         2 |       518 |  5.65E-02 |  0.903874 |  0.905225 |     21.08 |     18.67 |  0.247813 |  0.206428 |  9.85E-03 |     12.76 | 
|         2 |       592 |  5.84E-02 |  0.875684 |  0.905225 |     21.26 |     18.81 |  0.235246 |  0.191909 |  9.84E-03 |     13.54 | 
|         2 |       666 |  5.76E-02 |  0.874957 |  0.905225 |     21.48 |     18.98 |  0.138327 |  0.116470 |  9.82E-03 |     14.34 | 
|         2 |       740 |  5.77E-02 |  0.879662 |  0.905225 |     21.81 |     19.30 |  0.177967 |  0.147337 |  9.80E-03 |     15.16 | 
|         2 |       814 |  6.86E-02 |  0.909877 |  0.909877 |     22.42 |     19.94 |  0.481830 |  0.394207 |  9.78E-03 |     16.07 | 
|         2 |       823 |  6.89E-02 |  0.910689 |  0.910689 |     22.49 |     20.01 |  0.232416 |  0.184587 |  9.78E-03 |     16.77 | 
|         3 |        74 |  1.16E-01 |  0.877087 |  0.910689 |     29.96 |     27.00 |  0.414303 |  0.342054 |  9.76E-03 |     17.08 | 
|         3 |       148 |  8.88E-02 |  0.907871 |  0.910689 |     29.92 |     26.57 |  0.247406 |  0.263081 |  9.74E-03 |     18.11 | 
|         3 |       222 |  6.80E-02 |  0.898805 |  0.910689 |     30.79 |     26.53 |  0.077698 |  0.097769 |  9.72E-03 |     19.14 | 
|         3 |       296 |  7.75E-02 |  0.835870 |  0.910689 |     31.41 |     27.07 |  3.070374 |  0.541049 |  9.69E-03 |     20.25 | 
|         3 |       370 |  1.00E-01 |  0.884764 |  0.910689 |     30.89 |     26.86 |  0.253239 |  0.197336 |  9.67E-03 |     21.20 | 
|         3 |       444 |  9.15E-02 |  0.893305 |  0.910689 |     30.80 |     26.69 |  0.200313 |  0.167919 |  9.65E-03 |     22.21 | 
|         3 |       518 |  8.61E-02 |  0.906001 |  0.910689 |     30.70 |     26.53 |  0.163619 |  0.122718 |  9.62E-03 |     23.23 | 
|         3 |       592 |  8.05E-02 |  0.893879 |  0.910689 |     30.73 |     26.53 |  0.289015 |  0.263182 |  9.60E-03 |     24.27 | 
|         3 |       666 |  7.58E-02 |  0.870519 |  0.910689 |     30.84 |     26.56 |  0.604069 |  0.496031 |  9.57E-03 |     25.31 | 
|         3 |       740 |  7.14E-02 |  0.883136 |  0.910689 |     31.00 |     26.71 |  0.129838 |  0.103273 |  9.54E-03 |     26.36 | 
|         3 |       814 |  6.75E-02 |  0.892351 |  0.910689 |     31.13 |     26.77 |  0.123657 |  0.099073 |  9.51E-03 |     27.40 | 
|         3 |       823 |  6.70E-02 |  0.875322 |  0.910689 |     31.15 |     26.77 |  0.141242 |  0.112366 |  9.51E-03 |     28.17 | 
|         4 |        74 |  2.80E-02 |  0.897390 |  0.910689 |     32.18 |     27.00 |  0.238525 |  0.201978 |  9.48E-03 |     28.49 | 
|         4 |       148 |  3.24E-02 |  0.909477 |  0.910689 |     32.64 |     27.69 |  0.233559 |  0.185951 |  9.45E-03 |     29.64 | 
|         4 |       222 |  5.00E-02 |  0.880376 |  0.910689 |     33.44 |     28.89 |  0.175771 |  0.139694 |  9.42E-03 |     30.94 | 
|         4 |       296 |  4.41E-02 |  0.894564 |  0.910689 |     34.47 |     29.50 |  0.138929 |  0.108324 |  9.39E-03 |     32.23 | 
|         4 |       370 |  3.95E-02 |  0.892527 |  0.910689 |     34.78 |     29.63 |  0.127192 |  0.084264 |  9.36E-03 |     33.37 | 
|         4 |       444 |  3.69E-02 |  0.901019 |  0.910689 |     34.93 |     29.68 |  0.354012 |  0.283285 |  9.32E-03 |     34.48 | 
|         4 |       518 |  3.48E-02 |  0.885568 |  0.910689 |     34.87 |     29.60 |  0.129572 |  0.102676 |  9.29E-03 |     35.58 | 
|         4 |       592 |  3.34E-02 |  0.905498 |  0.910689 |     35.04 |     29.70 |  0.227016 |  0.200874 |  9.25E-03 |     36.71 | 
|         4 |       666 |  4.22E-02 |  0.886613 |  0.910689 |     35.42 |     30.31 |  0.183586 |  0.111913 |  9.22E-03 |     38.00 | 
|         4 |       740 |  4.16E-02 |  0.914121 |  0.914121 |     35.96 |     30.79 |  0.163323 |  0.124963 |  9.18E-03 |     39.33 | 
|         4 |       814 |  4.12E-02 |  0.892252 |  0.914121 |     36.37 |     31.29 |  0.081915 |  0.064141 |  9.15E-03 |     40.68 | 
|         4 |       823 |  4.10E-02 |  0.892419 |  0.914121 |     36.40 |     31.31 |  0.155552 |  0.119148 |  9.14E-03 |     41.60 | 
|         5 |        74 |  3.03E-02 |  0.878484 |  0.914121 |     40.39 |     35.41 |  0.233790 |  0.161849 |  9.10E-03 |     42.02 | 
|         5 |       148 |  8.30E-02 |  0.899451 |  0.914121 |     38.97 |     35.19 |  0.110039 |  0.094916 |  9.06E-03 |     43.40 | 
|         5 |       222 |  7.56E-02 |  0.885188 |  0.914121 |     39.55 |     35.72 |  0.083654 |  0.063666 |  9.03E-03 |     44.69 | 
|         5 |       296 |  8.24E-02 |  0.888274 |  0.914121 |     39.96 |     36.16 |  0.554992 |  0.437364 |  8.99E-03 |     45.99 | 
|         5 |       370 |  7.94E-02 |  0.880396 |  0.914121 |     40.21 |     36.47 |  1.221171 |  0.507655 |  8.94E-03 |     47.31 | 
|         5 |       444 |  7.08E-02 |  0.877310 |  0.914121 |     41.08 |     36.86 |  0.253909 |  0.198688 |  8.90E-03 |     48.69 | 
|         5 |       518 |  6.54E-02 |  0.897649 |  0.914121 |     41.67 |     37.30 |  0.137283 |  0.106592 |  8.86E-03 |     50.08 | 
|         5 |       592 |  6.00E-02 |  0.873490 |  0.914121 |     42.39 |     37.71 |  0.141470 |  0.114764 |  8.82E-03 |     51.47 | 
|         5 |       666 |  5.64E-02 |  0.879653 |  0.914121 |     42.49 |     37.70 |  0.066792 |  0.051462 |  8.78E-03 |     52.93 | 
|         5 |       740 |  5.36E-02 |  0.893587 |  0.914121 |     42.68 |     37.80 |  0.230896 |  0.175406 |  8.73E-03 |     54.32 | 
|         5 |       814 |  5.52E-02 |  0.899225 |  0.914121 |     42.69 |     37.85 |  0.270478 |  0.244434 |  8.69E-03 |     55.72 | 
|         5 |       823 |  5.60E-02 |  0.875184 |  0.914121 |     42.56 |     37.77 |  0.526236 |  0.412413 |  8.68E-03 |     56.62 | 
|         6 |        74 |  3.72E-02 |  0.876205 |  0.914121 |     36.34 |     32.89 |  0.159573 |  0.146214 |  8.64E-03 |     56.98 | 
|         6 |       148 |  2.88E-02 |  0.873490 |  0.914121 |     36.32 |     32.55 |  0.080051 |  0.060652 |  8.59E-03 |     58.26 | 
|         6 |       222 |  2.67E-02 |  0.883855 |  0.914121 |     36.13 |     32.07 |  0.131449 |  0.100294 |  8.54E-03 |     59.55 | 
|         6 |       296 |  5.41E-02 |  0.917485 |  0.917485 |     36.11 |     32.58 |  0.233410 |  0.177785 |  8.50E-03 |     60.91 | 
|         6 |       370 |  5.56E-02 |  0.891068 |  0.917485 |     35.43 |     32.25 |  0.249566 |  0.192030 |  8.45E-03 |     62.23 | 
|         6 |       444 |  7.16E-02 |  0.903226 |  0.917485 |     34.49 |     31.52 |  0.203010 |  0.162014 |  8.40E-03 |     63.51 | 
|         6 |       518 |  6.91E-02 |  0.908766 |  0.917485 |     34.20 |     31.11 |  0.271954 |  0.266032 |  8.35E-03 |     64.73 | 
|         6 |       592 |  6.60E-02 |  0.888889 |  0.917485 |     33.77 |     30.57 |  0.078208 |  0.061043 |  8.30E-03 |     65.94 | 
|         6 |       666 |  6.17E-02 |  0.874153 |  0.917485 |     33.53 |     30.17 |  0.276829 |  0.214922 |  8.25E-03 |     67.20 | 
|         6 |       740 |  5.79E-02 |  0.878138 |  0.917485 |     33.40 |     29.90 |  0.237659 |  0.118968 |  8.20E-03 |     68.46 | 
|         6 |       814 |  5.50E-02 |  0.861800 |  0.917485 |     33.34 |     29.72 |  0.302734 |  0.229486 |  8.15E-03 |     69.73 | 
|         6 |       823 |  5.48E-02 |  0.861237 |  0.917485 |     33.34 |     29.71 |  0.336132 |  0.151831 |  8.15E-03 |     70.69 | 
|         7 |        74 |  2.30E-02 |  0.893875 |  0.917485 |     32.07 |     27.12 |  0.068380 |  0.052049 |  8.09E-03 |     71.02 | 
|         7 |       148 |  2.36E-02 |  0.891002 |  0.917485 |     33.10 |     28.03 |  0.168253 |  0.126762 |  8.04E-03 |     72.31 | 
|         7 |       222 |  2.44E-02 |  0.896626 |  0.917485 |     33.24 |     28.18 |  0.156883 |  0.143617 |  7.99E-03 |     73.54 | 
|         7 |       296 |  2.98E-02 |  0.859578 |  0.917485 |     33.09 |     28.23 |  0.308865 |  0.260010 |  7.94E-03 |     74.79 | 
|         7 |       370 |  2.95E-02 |  0.885940 |  0.917485 |     33.28 |     28.47 |  0.231613 |  0.175414 |  7.88E-03 |     76.09 | 
|         7 |       444 |  2.73E-02 |  0.864945 |  0.917485 |     33.31 |     28.41 |  0.206252 |  0.160313 |  7.83E-03 |     77.41 | 
|         7 |       518 |  2.77E-02 |  0.898415 |  0.917485 |     33.53 |     28.50 |  0.309218 |  0.282045 |  7.77E-03 |     78.73 | 
|         7 |       592 |  3.09E-02 |  0.888477 |  0.917485 |     33.32 |     28.40 |  0.701408 |  0.580701 |  7.72E-03 |     79.84 | 
|         7 |       666 |  5.21E-02 |  0.900829 |  0.917485 |     33.51 |     28.54 |  1.196479 |  0.894743 |  7.66E-03 |     80.91 | 
|         7 |       740 |  5.54E-02 |  0.911213 |  0.917485 |     33.93 |     28.97 |  0.229120 |  0.169981 |  7.61E-03 |     82.12 | 
|         7 |       814 |  5.46E-02 |  0.915714 |  0.917485 |     34.66 |     29.49 |  0.177453 |  0.126074 |  7.55E-03 |     83.33 | 
|         7 |       823 |  5.44E-02 |  0.914348 |  0.917485 |     34.76 |     29.55 |  0.247381 |  0.187134 |  7.54E-03 |     84.30 | 
|         8 |        74 |  3.65E-02 |  0.912857 |  0.917485 |     46.85 |     38.96 |  0.208569 |  0.133942 |  7.49E-03 |     84.74 | 
|         8 |       148 |  4.34E-02 |  0.887565 |  0.917485 |     46.68 |     38.88 |  0.792420 |  0.657007 |  7.43E-03 |     86.16 | 
|         8 |       222 |  4.23E-02 |  0.918230 |  0.918230 |     45.60 |     37.91 |  0.103045 |  0.078252 |  7.37E-03 |     87.47 | 
|         8 |       296 |  4.42E-02 |  0.902272 |  0.918230 |     44.97 |     37.42 |  0.105342 |  0.077882 |  7.31E-03 |     88.86 | 
|         8 |       370 |  4.96E-02 |  0.898499 |  0.918230 |     45.37 |     38.05 |  0.199352 |  0.166387 |  7.26E-03 |     90.17 | 
|         8 |       444 |  4.77E-02 |  0.905308 |  0.918230 |     46.03 |     39.24 |  0.073366 |  0.054207 |  7.20E-03 |     91.63 | 
|         8 |       518 |  4.65E-02 |  0.903017 |  0.918230 |     46.52 |     40.06 |  0.213059 |  0.168555 |  7.14E-03 |     93.12 | 
|         8 |       592 |  5.54E-02 |  0.891941 |  0.918230 |     46.91 |     41.13 |  0.700597 |  0.524747 |  7.08E-03 |     94.61 | 
|         8 |       666 |  5.46E-02 |  0.897483 |  0.918230 |     47.25 |     42.03 |  0.161135 |  0.121899 |  7.02E-03 |     96.26 | 
|         8 |       740 |  5.20E-02 |  0.903203 |  0.918230 |     47.52 |     42.73 |  0.186795 |  0.139212 |  6.96E-03 |     97.87 | 
|         8 |       814 |  4.95E-02 |  0.889942 |  0.918230 |     47.74 |     43.30 |  0.109382 |  0.091976 |  6.90E-03 |     99.38 | 
|         8 |       823 |  4.92E-02 |  0.892984 |  0.918230 |     47.77 |     43.37 |  0.099384 |  0.075105 |  6.89E-03 |    100.48 | 
|         9 |        74 |  2.91E-02 |  0.900990 |  0.918230 |     50.00 |     48.86 |  0.265177 |  0.199529 |  6.83E-03 |    100.96 | 
|         9 |       148 |  3.05E-02 |  0.910587 |  0.918230 |     50.00 |     49.20 |  0.325012 |  0.254332 |  6.77E-03 |    102.49 | 
|         9 |       222 |  3.13E-02 |  0.893419 |  0.918230 |     50.00 |     49.33 |  0.123794 |  0.092846 |  6.71E-03 |    104.04 | 
|         9 |       296 |  3.77E-02 |  0.899056 |  0.918230 |     50.00 |     49.48 |  0.167134 |  0.081805 |  6.65E-03 |    105.60 | 
|         9 |       370 |  3.87E-02 |  0.898519 |  0.918230 |     50.00 |     49.30 |  0.098046 |  0.075037 |  6.59E-03 |    107.14 | 
|         9 |       444 |  4.42E-02 |  0.863751 |  0.918230 |     50.00 |     48.81 |  2.042821 |  2.374771 |  6.52E-03 |    108.74 | 
|         9 |       518 |  5.26E-02 |  0.901933 |  0.918230 |     49.97 |     48.37 |  0.287896 |  0.219889 |  6.46E-03 |    110.25 | 
|         9 |       592 |  4.98E-02 |  0.893252 |  0.918230 |     49.96 |     48.05 |  0.249314 |  0.149636 |  6.40E-03 |    111.77 | 
|         9 |       666 |  4.68E-02 |  0.893000 |  0.918230 |     49.96 |     47.87 |  0.149864 |  0.113178 |  6.34E-03 |    113.28 | 
|         9 |       740 |  4.60E-02 |  0.900142 |  0.918230 |     49.96 |     47.90 |  0.073446 |  0.055945 |  6.27E-03 |    114.96 | 
|         9 |       814 |  4.37E-02 |  0.882877 |  0.918230 |     49.96 |     47.67 |  0.280046 |  0.173789 |  6.21E-03 |    116.46 | 
|         9 |       823 |  4.34E-02 |  0.895286 |  0.918230 |     49.96 |     47.67 |  0.132476 |  0.100217 |  6.20E-03 |    117.54 | 
|        10 |        74 |  1.96E-02 |  0.895328 |  0.918230 |     49.95 |     45.01 |  0.212077 |  0.165666 |  6.14E-03 |    118.00 | 
|        10 |       148 |  1.83E-02 |  0.894033 |  0.918230 |     49.97 |     45.03 |  0.237451 |  0.184350 |  6.08E-03 |    119.47 | 
|        10 |       222 |  2.19E-02 |  0.886167 |  0.918230 |     49.98 |     45.67 |  0.206116 |  0.158029 |  6.02E-03 |    120.95 | 
|        10 |       296 |  2.68E-02 |  0.903509 |  0.918230 |     49.99 |     45.83 |  0.368457 |  0.312879 |  5.95E-03 |    122.55 | 
|        10 |       370 |  2.86E-02 |  0.895789 |  0.918230 |     49.99 |     46.45 |  0.096699 |  0.073555 |  5.89E-03 |    124.09 | 
|        10 |       444 |  2.77E-02 |  0.886486 |  0.918230 |     49.99 |     46.39 |  0.096116 |  0.060448 |  5.83E-03 |    125.60 | 
|        10 |       518 |  2.59E-02 |  0.870224 |  0.918230 |     49.99 |     46.32 |  0.130909 |  0.097359 |  5.76E-03 |    127.10 | 
|        10 |       592 |  2.44E-02 |  0.885164 |  0.918230 |     49.99 |     46.28 |  0.078569 |  0.058879 |  5.70E-03 |    128.58 | 
|        10 |       666 |  2.39E-02 |  0.884874 |  0.918230 |     49.99 |     46.33 |  0.149250 |  0.112853 |  5.64E-03 |    130.05 | 
|        10 |       740 |  2.30E-02 |  0.867789 |  0.918230 |     49.99 |     46.50 |  0.134847 |  0.099260 |  5.57E-03 |    131.54 | 
|        10 |       814 |  2.23E-02 |  0.892896 |  0.918230 |     49.99 |     46.60 |  0.126066 |  0.096261 |  5.51E-03 |    133.04 | 
|        10 |       823 |  2.22E-02 |  0.896751 |  0.918230 |     49.99 |     46.63 |  0.168833 |  0.126339 |  5.50E-03 |    134.12 | 
|        11 |        74 |  2.51E-02 |  0.903342 |  0.918230 |     50.00 |     48.36 |  0.107072 |  0.080269 |  5.44E-03 |    134.60 | 
|        11 |       148 |  3.02E-02 |  0.862730 |  0.918230 |     50.00 |     48.26 |  0.280442 |  0.227251 |  5.37E-03 |    136.09 | 
