*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Feb 17 10:12:52 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  9.37E-01 |  0.935518 |  0.935518 |      9.97 |     10.00 |  0.103313 |  0.308019 |  1.00E-02 |      0.08 | 
|         1 |        74 |  9.67E-01 |  0.936638 |  0.936638 |      9.97 |     10.00 |  0.084224 |  0.254701 |  1.00E-02 |      0.31 | 
|         1 |       111 |  9.55E-01 |  0.936494 |  0.936638 |     10.02 |     10.04 |  0.074903 |  0.229062 |  1.00E-02 |      0.54 | 
|         1 |       148 |  9.41E-01 |  0.932623 |  0.936638 |     10.28 |     10.28 |  0.165065 |  0.306137 |  9.99E-03 |      0.78 | 
|         1 |       185 |  8.84E-01 |  0.938840 |  0.938840 |     10.63 |     10.61 |  0.220493 |  0.162649 |  9.99E-03 |      1.03 | 
|         1 |       222 |  8.23E-01 |  0.935460 |  0.938840 |     10.93 |     10.82 |  0.364646 |  0.406163 |  9.98E-03 |      1.28 | 
|         1 |       259 |  7.67E-01 |  0.939028 |  0.939028 |     11.21 |     10.97 |  0.116967 |  0.185456 |  9.98E-03 |      1.55 | 
|         1 |       296 |  7.21E-01 |  0.929641 |  0.939028 |     11.48 |     11.19 |  0.194147 |  0.174173 |  9.97E-03 |      1.81 | 
|         1 |       333 |  6.61E-01 |  0.928571 |  0.939028 |     11.75 |     11.35 |  0.417775 |  0.165997 |  9.96E-03 |      2.08 | 
|         1 |       370 |  6.13E-01 |  0.940195 |  0.940195 |     11.97 |     11.44 |  0.790788 |  0.305027 |  9.95E-03 |      2.34 | 
|         1 |       407 |  5.75E-01 |  0.906811 |  0.940195 |     12.16 |     11.51 |  0.596743 |  0.405661 |  9.94E-03 |      2.61 | 
|         2 |        37 |  1.61E-01 |  0.914765 |  0.940195 |     14.03 |     12.30 |  0.128915 |  0.093906 |  9.93E-03 |      2.70 | 
|         2 |        74 |  1.57E-01 |  0.922617 |  0.940195 |     14.00 |     12.31 |  0.418679 |  0.204596 |  9.92E-03 |      2.97 | 
|         2 |       111 |  1.55E-01 |  0.911074 |  0.940195 |     14.00 |     12.35 |  0.214872 |  0.065309 |  9.91E-03 |      3.24 | 
|         2 |       148 |  1.51E-01 |  0.872980 |  0.940195 |     14.01 |     12.32 |  0.168696 |  0.053741 |  9.90E-03 |      3.51 | 
|         2 |       185 |  1.46E-01 |  0.909401 |  0.940195 |     14.01 |     12.35 |  0.181622 |  0.072392 |  9.88E-03 |      3.77 | 
|         2 |       222 |  1.42E-01 |  0.912110 |  0.940195 |     14.03 |     12.45 |  0.367358 |  0.207445 |  9.87E-03 |      4.07 | 
|         2 |       259 |  1.39E-01 |  0.933652 |  0.940195 |     14.11 |     12.56 |  0.789663 |  0.303969 |  9.85E-03 |      4.34 | 
|         2 |       296 |  1.33E-01 |  0.937456 |  0.940195 |     14.21 |     12.67 |  0.355774 |  0.146966 |  9.84E-03 |      4.61 | 
