*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Mar  8 18:14:58 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        74 |  9.01E-01 |  0.894384 |  0.894384 |     13.12 |     13.07 |  0.099030 |  0.382111 |  1.00E-02 |      0.18 | 
|         1 |       148 |  6.68E-01 |  0.879916 |  0.894384 |     13.54 |     13.30 |  0.096442 |  0.367982 |  1.00E-02 |      0.73 | 
|         1 |       222 |  5.70E-01 |  0.872869 |  0.894384 |     13.69 |     13.38 |  0.414307 |  0.776775 |  1.00E-02 |      1.26 | 
|         1 |       296 |  4.88E-01 |  0.884354 |  0.894384 |     13.81 |     13.52 |  0.443564 |  0.772843 |  9.99E-03 |      1.80 | 
|         1 |       370 |  4.31E-01 |  0.898105 |  0.898105 |     13.92 |     13.61 |  0.211074 |  0.310576 |  9.99E-03 |      2.35 | 
|         1 |       444 |  3.93E-01 |  0.895972 |  0.898105 |     14.01 |     13.65 |  0.156804 |  0.224730 |  9.98E-03 |      2.90 | 
|         1 |       518 |  3.58E-01 |  0.897275 |  0.898105 |     14.07 |     13.66 |  0.280172 |  0.378758 |  9.98E-03 |      3.45 | 
|         1 |       592 |  3.29E-01 |  0.901490 |  0.901490 |     14.12 |     13.68 |  0.634695 |  0.704772 |  9.97E-03 |      4.01 | 
|         1 |       666 |  3.03E-01 |  0.889435 |  0.901490 |     14.20 |     13.70 |  0.346120 |  0.481876 |  9.96E-03 |      4.56 | 
|         1 |       740 |  2.80E-01 |  0.895983 |  0.901490 |     14.24 |     13.70 |  0.215466 |  0.243109 |  9.96E-03 |      5.12 | 
|         1 |       814 |  2.64E-01 |  0.902405 |  0.902405 |     14.29 |     13.72 |  0.212237 |  0.218406 |  9.95E-03 |      5.69 | 
|         1 |       823 |  2.61E-01 |  0.896911 |  0.902405 |     14.29 |     13.72 |  0.100337 |  0.130886 |  9.94E-03 |      6.08 | 
|         2 |        74 |  6.96E-02 |  0.891688 |  0.902405 |     14.59 |     13.76 |  0.268399 |  0.383561 |  9.93E-03 |      6.28 | 
|         2 |       148 |  6.60E-02 |  0.911511 |  0.911511 |     14.54 |     13.71 |  0.212340 |  0.290151 |  9.92E-03 |      6.83 | 
|         2 |       222 |  6.02E-02 |  0.896302 |  0.911511 |     14.59 |     13.65 |  0.367962 |  0.365260 |  9.91E-03 |      7.39 | 
|         2 |       296 |  7.73E-02 |  0.896926 |  0.911511 |     14.61 |     13.73 |  0.121816 |  0.063081 |  9.90E-03 |      7.94 | 
|         2 |       370 |  8.52E-02 |  0.892819 |  0.911511 |     14.61 |     13.76 |  0.461931 |  0.493768 |  9.88E-03 |      8.50 | 
|         2 |       444 |  7.98E-02 |  0.894303 |  0.911511 |     14.62 |     13.77 |  0.165781 |  0.246003 |  9.87E-03 |      9.05 | 
|         2 |       518 |  7.43E-02 |  0.870116 |  0.911511 |     14.62 |     13.76 |  0.139764 |  0.156635 |  9.85E-03 |      9.61 | 
|         2 |       592 |  7.03E-02 |  0.879248 |  0.911511 |     14.64 |     13.75 |  0.445800 |  0.426292 |  9.84E-03 |     10.17 | 
|         2 |       666 |  6.69E-02 |  0.885329 |  0.911511 |     14.66 |     13.76 |  0.113493 |  0.104063 |  9.82E-03 |     10.72 | 
|         2 |       740 |  6.37E-02 |  0.871382 |  0.911511 |     14.67 |     13.75 |  0.348937 |  0.365793 |  9.80E-03 |     11.28 | 
|         2 |       814 |  6.42E-02 |  0.870979 |  0.911511 |     14.68 |     13.76 |  0.383354 |  0.371201 |  9.78E-03 |     11.84 | 
|         2 |       823 |  6.50E-02 |  0.911364 |  0.911511 |     14.68 |     13.77 |  0.760203 |  0.712162 |  9.78E-03 |     12.23 | 
|         3 |        74 |  8.70E-02 |  0.873208 |  0.911511 |     14.70 |     14.08 |  1.809575 |  0.638094 |  9.76E-03 |     12.43 | 
|         3 |       148 |  1.41E-01 |  0.879554 |  0.911511 |     14.68 |     14.23 |  0.365555 |  0.339376 |  9.74E-03 |     13.00 | 
|         3 |       222 |  1.14E-01 |  0.884295 |  0.911511 |     14.62 |     14.07 |  0.257810 |  0.221398 |  9.72E-03 |     13.56 | 
|         3 |       296 |  9.73E-02 |  0.881307 |  0.911511 |     14.55 |     13.95 |  0.199696 |  0.197892 |  9.69E-03 |     14.12 | 
|         3 |       370 |  8.92E-02 |  0.902898 |  0.911511 |     14.55 |     13.92 |  0.290455 |  0.240122 |  9.67E-03 |     14.68 | 
|         3 |       444 |  8.17E-02 |  0.899471 |  0.911511 |     14.55 |     13.87 |  0.160138 |  0.124779 |  9.65E-03 |     15.24 | 
|         3 |       518 |  1.04E-01 |  0.902483 |  0.911511 |     14.54 |     13.93 |  0.195616 |  0.119711 |  9.62E-03 |     15.80 | 
|         3 |       592 |  1.00E-01 |  0.885128 |  0.911511 |     14.57 |     13.95 |  0.179469 |  0.151940 |  9.60E-03 |     16.37 | 
|         3 |       666 |  9.38E-02 |  0.899148 |  0.911511 |     14.58 |     13.92 |  0.187479 |  0.154201 |  9.57E-03 |     16.94 | 
|         3 |       740 |  8.79E-02 |  0.883108 |  0.911511 |     14.59 |     13.89 |  0.107842 |  0.099160 |  9.54E-03 |     17.52 | 
|         3 |       814 |  8.40E-02 |  0.895252 |  0.911511 |     14.62 |     13.88 |  0.321256 |  0.201430 |  9.51E-03 |     18.10 | 
|         3 |       823 |  8.35E-02 |  0.885074 |  0.911511 |     14.62 |     13.88 |  0.184320 |  0.148612 |  9.51E-03 |     18.50 | 
|         4 |        74 |  3.92E-02 |  0.862008 |  0.911511 |     15.08 |     13.81 |  0.256307 |  0.211236 |  9.48E-03 |     18.71 | 
|         4 |       148 |  3.66E-02 |  0.882754 |  0.911511 |     14.99 |     13.64 |  0.138279 |  0.106991 |  9.45E-03 |     19.28 | 
|         4 |       222 |  4.18E-02 |  0.895479 |  0.911511 |     15.00 |     13.64 |  0.185479 |  0.170080 |  9.42E-03 |     19.86 | 
|         4 |       296 |  3.98E-02 |  0.889120 |  0.911511 |     15.00 |     13.64 |  0.182811 |  0.167345 |  9.39E-03 |     20.44 | 
|         4 |       370 |  4.43E-02 |  0.903688 |  0.911511 |     14.99 |     13.70 |  0.090556 |  0.083668 |  9.36E-03 |     21.01 | 
|         4 |       444 |  4.75E-02 |  0.868730 |  0.911511 |     15.02 |     13.76 |  0.212528 |  0.179943 |  9.32E-03 |     21.58 | 
|         4 |       518 |  4.70E-02 |  0.882909 |  0.911511 |     15.04 |     13.75 |  0.333298 |  0.336303 |  9.29E-03 |     22.16 | 
|         4 |       592 |  4.58E-02 |  0.885316 |  0.911511 |     15.06 |     13.76 |  0.191464 |  0.202447 |  9.25E-03 |     22.73 | 
|         4 |       666 |  5.09E-02 |  0.891487 |  0.911511 |     15.08 |     13.81 |  0.166769 |  0.149196 |  9.22E-03 |     23.30 | 
|         4 |       740 |  5.79E-02 |  0.892341 |  0.911511 |     15.07 |     13.86 |  0.097803 |  0.098350 |  9.18E-03 |     23.88 | 
|         4 |       814 |  5.66E-02 |  0.873472 |  0.911511 |     15.07 |     13.87 |  0.218371 |  0.185989 |  9.15E-03 |     24.45 | 
|         4 |       823 |  5.65E-02 |  0.875706 |  0.911511 |     15.07 |     13.87 |  0.274033 |  0.300255 |  9.14E-03 |     24.85 | 
|         5 |        74 |  4.42E-02 |  0.868300 |  0.911511 |     15.04 |     14.01 |  0.294372 |  0.290806 |  9.10E-03 |     25.05 | 
|         5 |       148 |  3.80E-02 |  0.849286 |  0.911511 |     15.01 |     13.82 |  0.201491 |  0.167557 |  9.06E-03 |     25.62 | 
|         5 |       222 |  3.63E-02 |  0.898354 |  0.911511 |     15.01 |     13.73 |  0.519822 |  0.544611 |  9.03E-03 |     26.18 | 
|         5 |       296 |  3.82E-02 |  0.885724 |  0.911511 |     15.01 |     13.75 |  0.179905 |  0.213782 |  8.99E-03 |     26.75 | 
|         5 |       370 |  1.08E-01 |  0.907292 |  0.911511 |     14.92 |     13.85 |  1.210197 |  0.912394 |  8.94E-03 |     27.31 | 
|         5 |       444 |  1.17E-01 |  0.904217 |  0.911511 |     14.89 |     13.90 |  0.390729 |  0.392625 |  8.90E-03 |     27.86 | 
|         5 |       518 |  1.18E-01 |  0.908768 |  0.911511 |     14.90 |     13.94 |  0.561372 |  0.533319 |  8.86E-03 |     28.42 | 
|         5 |       592 |  1.12E-01 |  0.892496 |  0.911511 |     14.95 |     14.01 |  0.269087 |  0.267552 |  8.82E-03 |     28.99 | 
|         5 |       666 |  1.09E-01 |  0.894756 |  0.911511 |     15.00 |     14.08 |  0.326226 |  0.277292 |  8.78E-03 |     29.56 | 
|         5 |       740 |  1.03E-01 |  0.919499 |  0.919499 |     15.06 |     14.13 |  0.344129 |  0.262475 |  8.73E-03 |     30.13 | 
|         5 |       814 |  1.01E-01 |  0.897027 |  0.919499 |     15.10 |     14.17 |  0.152282 |  0.109422 |  8.69E-03 |     30.71 | 
|         5 |       823 |  1.00E-01 |  0.905887 |  0.919499 |     15.11 |     14.17 |  0.192138 |  0.203530 |  8.68E-03 |     31.12 | 
|         6 |        74 |  5.22E-02 |  0.897694 |  0.919499 |     15.74 |     14.47 |  0.140994 |  0.100107 |  8.64E-03 |     31.32 | 
|         6 |       148 |  4.67E-02 |  0.888248 |  0.919499 |     15.72 |     14.45 |  0.245551 |  0.252563 |  8.59E-03 |     31.90 | 
|         6 |       222 |  5.83E-02 |  0.896851 |  0.919499 |     15.72 |     14.54 |  0.381721 |  0.297275 |  8.54E-03 |     32.48 | 
|         6 |       296 |  5.71E-02 |  0.895728 |  0.919499 |     15.76 |     14.58 |  0.342138 |  0.305670 |  8.50E-03 |     33.06 | 
|         6 |       370 |  5.60E-02 |  0.904323 |  0.919499 |     15.80 |     14.60 |  0.808315 |  0.235342 |  8.45E-03 |     33.64 | 
|         6 |       444 |  5.48E-02 |  0.885341 |  0.919499 |     15.83 |     14.62 |  0.135247 |  0.134869 |  8.40E-03 |     34.23 | 
