*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Thu Mar  7 17:36:37 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        74 |  1.05E+00 |  0.885897 |  0.885897 |      8.00 |      7.00 |  0.109494 |  0.375724 |  1.00E-02 |      0.09 | 
|         1 |       148 |  8.12E-01 |  0.888112 |  0.888112 |      8.00 |      7.00 |  1.287331 |  0.595162 |  1.00E-02 |      0.28 | 
|         1 |       222 |  6.23E-01 |  0.855093 |  0.888112 |      8.00 |      7.00 |  0.132496 |  0.217587 |  1.00E-02 |      0.46 | 
|         1 |       296 |  5.07E-01 |  0.858055 |  0.888112 |      8.00 |      7.00 |  0.220976 |  0.281356 |  9.99E-03 |      0.65 | 
|         1 |       370 |  4.34E-01 |  0.858508 |  0.888112 |      8.00 |      7.00 |  0.398379 |  0.268646 |  9.99E-03 |      0.83 | 
|         1 |       444 |  4.31E-01 |  0.908829 |  0.908829 |      8.00 |      7.00 |  0.465381 |  0.243849 |  9.98E-03 |      1.01 | 
|         1 |       518 |  4.25E-01 |  0.896934 |  0.908829 |      8.00 |      7.00 |  0.229877 |  0.201669 |  9.98E-03 |      1.20 | 
|         1 |       592 |  4.17E-01 |  0.900806 |  0.908829 |      8.00 |      7.00 |  0.976003 |  0.769687 |  9.97E-03 |      1.38 | 
|         1 |       666 |  4.03E-01 |  0.847508 |  0.908829 |      8.00 |      7.00 |  0.585434 |  0.356946 |  9.96E-03 |      1.56 | 
|         1 |       740 |  3.84E-01 |  0.865714 |  0.908829 |      8.00 |      7.00 |  0.347323 |  0.247300 |  9.96E-03 |      1.74 | 
|         1 |       814 |  3.66E-01 |  0.870125 |  0.908829 |      8.00 |      7.00 |  0.517706 |  0.376585 |  9.95E-03 |      1.93 | 
|         1 |       823 |  3.64E-01 |  0.868798 |  0.908829 |      8.00 |      7.00 |  0.128197 |  0.120122 |  9.94E-03 |      2.05 | 
|         2 |        74 |  1.73E-01 |  0.868629 |  0.908829 |      8.00 |      7.00 |  0.528773 |  0.183667 |  9.93E-03 |      2.13 | 
|         2 |       148 |  1.98E-01 |  0.897930 |  0.908829 |      8.00 |      7.00 |  0.647081 |  0.290541 |  9.92E-03 |      2.32 | 
|         2 |       222 |  1.95E-01 |  0.884560 |  0.908829 |      8.00 |      7.00 |  0.573893 |  0.242663 |  9.91E-03 |      2.50 | 
|         2 |       296 |  3.59E-01 |  0.903763 |  0.908829 |      8.00 |      7.00 |  0.528502 |  0.412561 |  9.90E-03 |      2.68 | 
|         2 |       370 |  4.15E-01 |  0.892845 |  0.908829 |      8.00 |      7.00 |  1.039174 |  0.849646 |  9.88E-03 |      2.86 | 
|         2 |       444 |  4.24E-01 |  0.909156 |  0.909156 |      8.00 |      7.00 |  0.901872 |  0.340603 |  9.87E-03 |      3.05 | 
|         2 |       518 |  4.30E-01 |  0.898317 |  0.909156 |      8.00 |      7.00 |  0.951829 |  0.423910 |  9.85E-03 |      3.23 | 
|         2 |       592 |  4.26E-01 |  0.906609 |  0.909156 |      8.00 |      7.00 |  0.476980 |  0.375905 |  9.84E-03 |      3.42 | 
|         2 |       666 |  4.22E-01 |  0.905136 |  0.909156 |      8.00 |      7.00 |  0.612059 |  0.709345 |  9.82E-03 |      3.60 | 
|         2 |       740 |  4.14E-01 |  0.907224 |  0.909156 |      8.00 |      7.00 |  0.981581 |  0.267524 |  9.80E-03 |      3.78 | 
|         2 |       814 |  4.08E-01 |  0.896455 |  0.909156 |      8.00 |      7.00 |  0.605598 |  3.451806 |  9.78E-03 |      3.96 | 
|         2 |       823 |  4.15E-01 |  0.861721 |  0.909156 |      8.00 |      7.00 |  9.835638 |  1.604215 |  9.78E-03 |      4.08 | 
|         3 |        74 |  4.70E-01 |  0.903819 |  0.909156 |      8.00 |      7.00 |  1.122492 |  0.718084 |  9.76E-03 |      4.16 | 
|         3 |       148 |  4.40E-01 |  0.892539 |  0.909156 |      8.00 |      7.00 |  3.256990 |  0.747778 |  9.74E-03 |      4.34 | 
|         3 |       222 |  4.19E-01 |  0.878340 |  0.909156 |      8.00 |      7.00 |  1.219871 |  0.988513 |  9.72E-03 |      4.53 | 
|         3 |       296 |  4.11E-01 |  0.890722 |  0.909156 |      8.00 |      7.00 |  0.517447 |  0.438582 |  9.69E-03 |      4.71 | 
