*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Mar  8 20:57:06 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        74 |  6.90E-01 |  0.877131 |  0.877131 |     16.11 |     15.97 |  0.602888 |  0.628451 |  1.00E-02 |      0.16 | 
|         1 |       148 |  4.45E-01 |  0.884247 |  0.884247 |     16.36 |     16.04 |  0.453485 |  0.687988 |  1.00E-02 |      0.63 | 
|         1 |       222 |  3.39E-01 |  0.905540 |  0.905540 |     16.73 |     16.18 |  0.098802 |  0.092487 |  1.00E-02 |      1.11 | 
|         1 |       296 |  2.95E-01 |  0.898892 |  0.905540 |     17.00 |     16.20 |  0.208012 |  0.310152 |  9.99E-03 |      1.67 | 
|         1 |       370 |  2.53E-01 |  0.914673 |  0.914673 |     17.03 |     16.01 |  0.482520 |  0.554841 |  9.99E-03 |      2.22 | 
|         1 |       444 |  2.25E-01 |  0.899521 |  0.914673 |     16.99 |     15.78 |  0.293757 |  0.325874 |  9.98E-03 |      2.69 | 
|         1 |       518 |  2.03E-01 |  0.910015 |  0.914673 |     16.88 |     15.56 |  0.176943 |  0.213546 |  9.98E-03 |      3.16 | 
|         1 |       592 |  1.86E-01 |  0.901680 |  0.914673 |     16.78 |     15.40 |  0.218546 |  0.215744 |  9.97E-03 |      3.61 | 
|         1 |       666 |  1.71E-01 |  0.912670 |  0.914673 |     16.71 |     15.26 |  0.133887 |  0.129313 |  9.96E-03 |      4.07 | 
|         1 |       740 |  1.58E-01 |  0.912795 |  0.914673 |     16.66 |     15.17 |  0.388553 |  0.417088 |  9.96E-03 |      4.54 | 
|         1 |       814 |  1.53E-01 |  0.891061 |  0.914673 |     16.62 |     15.11 |  0.880798 |  0.880728 |  9.95E-03 |      5.00 | 
|         1 |       823 |  1.53E-01 |  0.909593 |  0.914673 |     16.61 |     15.11 |  0.427179 |  0.316856 |  9.94E-03 |      5.34 | 
|         2 |        74 |  1.57E-01 |  0.902378 |  0.914673 |     17.04 |     15.88 |  0.290526 |  0.261955 |  9.93E-03 |      5.50 | 
|         2 |       148 |  1.04E-01 |  0.899329 |  0.914673 |     17.95 |     16.53 |  0.314496 |  0.278969 |  9.92E-03 |      6.01 | 
