*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Mar  9 09:17:53 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        74 |  7.67E-01 |  0.885116 |  0.885116 |     19.22 |     18.68 |  0.224195 |  0.329295 |  1.00E-02 |      0.24 | 
|         1 |       148 |  5.67E-01 |  0.856825 |  0.885116 |     20.47 |     19.92 |  0.889039 |  1.398392 |  1.00E-02 |      1.00 | 
|         1 |       222 |  4.46E-01 |  0.894591 |  0.894591 |     21.23 |     20.47 |  0.186450 |  0.318017 |  1.00E-02 |      1.79 | 
|         1 |       296 |  3.75E-01 |  0.892396 |  0.894591 |     21.71 |     20.63 |  0.249370 |  0.282434 |  9.99E-03 |      2.65 | 
|         1 |       370 |  3.18E-01 |  0.902377 |  0.902377 |     21.88 |     20.50 |  0.721115 |  0.807946 |  9.99E-03 |      3.47 | 
|         1 |       444 |  2.90E-01 |  0.904342 |  0.904342 |     21.94 |     20.46 |  0.166396 |  0.182591 |  9.98E-03 |      4.23 | 
|         1 |       518 |  2.58E-01 |  0.896672 |  0.904342 |     21.86 |     20.30 |  0.162463 |  0.135462 |  9.98E-03 |      4.98 | 
|         1 |       592 |  2.32E-01 |  0.900252 |  0.904342 |     21.78 |     20.11 |  0.182421 |  0.124483 |  9.97E-03 |      5.73 | 
|         1 |       666 |  2.19E-01 |  0.888735 |  0.904342 |     21.73 |     20.04 |  0.565397 |  0.539359 |  9.96E-03 |      6.48 | 
|         1 |       740 |  2.02E-01 |  0.903226 |  0.904342 |     21.69 |     19.97 |  0.208113 |  0.217862 |  9.96E-03 |      7.23 | 
|         1 |       814 |  1.87E-01 |  0.897352 |  0.904342 |     21.67 |     19.89 |  0.232636 |  0.195593 |  9.95E-03 |      7.97 | 
|         1 |       823 |  1.91E-01 |  0.896699 |  0.904342 |     21.67 |     19.89 |  1.875226 |  1.489389 |  9.94E-03 |      8.51 | 
|         2 |        74 |  1.12E-01 |  0.904477 |  0.904477 |     21.85 |     20.16 |  0.080416 |  0.060603 |  9.93E-03 |      8.77 | 
|         2 |       148 |  7.37E-02 |  0.900844 |  0.904477 |     21.93 |     19.71 |  0.066019 |  0.060695 |  9.92E-03 |      9.52 | 
|         2 |       222 |  6.55E-02 |  0.866667 |  0.904477 |     21.97 |     19.82 |  0.443864 |  0.361196 |  9.91E-03 |     10.29 | 
|         2 |       296 |  6.28E-02 |  0.870921 |  0.904477 |     22.08 |     19.89 |  0.161036 |  0.138784 |  9.90E-03 |     11.07 | 
|         2 |       370 |  5.94E-02 |  0.847818 |  0.904477 |     22.24 |     20.04 |  0.258661 |  0.241144 |  9.88E-03 |     11.84 | 
|         2 |       444 |  6.70E-02 |  0.913403 |  0.913403 |     22.45 |     20.27 |  0.449752 |  0.445973 |  9.87E-03 |     12.64 | 
|         2 |       518 |  7.34E-02 |  0.898373 |  0.913403 |     22.36 |     20.31 |  0.307794 |  0.244966 |  9.85E-03 |     13.41 | 
|         2 |       592 |  6.95E-02 |  0.901849 |  0.913403 |     22.35 |     20.31 |  0.208472 |  0.157456 |  9.84E-03 |     14.18 | 
|         2 |       666 |  6.60E-02 |  0.877410 |  0.913403 |     22.37 |     20.33 |  0.169163 |  0.149412 |  9.82E-03 |     14.98 | 
|         2 |       740 |  6.32E-02 |  0.864725 |  0.913403 |     22.38 |     20.28 |  0.475587 |  0.439395 |  9.80E-03 |     15.76 | 
|         2 |       814 |  6.22E-02 |  0.860552 |  0.913403 |     22.39 |     20.29 |  0.839475 |  0.638037 |  9.78E-03 |     16.54 | 
|         2 |       823 |  6.23E-02 |  0.882186 |  0.913403 |     22.39 |     20.30 |  0.302867 |  0.231456 |  9.78E-03 |     17.10 | 
|         3 |        74 |  2.56E-02 |  0.897501 |  0.913403 |     22.47 |     19.64 |  0.139104 |  0.108967 |  9.76E-03 |     17.36 | 
|         3 |       148 |  2.38E-02 |  0.891233 |  0.913403 |     22.49 |     19.47 |  0.165113 |  0.148815 |  9.74E-03 |     18.13 | 
|         3 |       222 |  2.62E-02 |  0.873857 |  0.913403 |     22.50 |     19.73 |  0.156145 |  0.118589 |  9.72E-03 |     18.91 | 
|         3 |       296 |  2.56E-02 |  0.884157 |  0.913403 |     22.50 |     19.73 |  0.176372 |  0.132155 |  9.69E-03 |     19.69 | 
|         3 |       370 |  2.78E-02 |  0.879509 |  0.913403 |     22.47 |     19.78 |  0.142111 |  0.107999 |  9.67E-03 |     20.49 | 
|         3 |       444 |  2.73E-02 |  0.867159 |  0.913403 |     22.37 |     19.71 |  0.119215 |  0.088938 |  9.65E-03 |     21.27 | 
|         3 |       518 |  2.62E-02 |  0.890975 |  0.913403 |     22.27 |     19.63 |  0.083866 |  0.061792 |  9.62E-03 |     22.06 | 
|         3 |       592 |  2.69E-02 |  0.894200 |  0.913403 |     22.18 |     19.59 |  0.094884 |  0.070458 |  9.60E-03 |     22.84 | 
|         3 |       666 |  2.86E-02 |  0.889690 |  0.913403 |     22.12 |     19.58 |  0.192753 |  0.142623 |  9.57E-03 |     23.60 | 
|         3 |       740 |  3.28E-02 |  0.847633 |  0.913403 |     22.05 |     19.57 |  1.254499 |  0.958714 |  9.54E-03 |     24.39 | 
