*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 09:04:23 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  6.70E-01 |  0.928446 |  0.928446 |      8.00 |      7.00 |  0.123604 |  1.208943 |  9.99E-03 |      0.52 | 
|         1 |       286 |  6.11E-01 |  0.927911 |  0.928446 |      8.00 |      7.00 |  1.961874 |  0.985761 |  9.97E-03 |      2.05 | 
|         1 |       429 |  5.82E-01 |  0.925427 |  0.928446 |      8.00 |      7.00 |  0.917670 |  0.893035 |  9.93E-03 |      3.58 | 
|         1 |       572 |  5.63E-01 |  0.929644 |  0.929644 |      8.00 |      7.00 |  3.026501 |  1.281403 |  9.88E-03 |      5.22 | 
|         1 |       715 |  5.29E-01 |  0.934661 |  0.934661 |      8.00 |      7.00 |  2.742296 |  1.314783 |  9.82E-03 |      6.77 | 
|         1 |       858 |  5.20E-01 |  0.928458 |  0.934661 |      8.00 |      7.00 |  0.667544 |  1.837743 |  9.74E-03 |      8.31 | 
|         1 |      1001 |  5.57E-01 |  0.928328 |  0.934661 |      8.00 |      7.00 |  0.206615 |  0.828957 |  9.65E-03 |      9.87 | 
|         1 |      1144 |  5.77E-01 |  0.928451 |  0.934661 |      8.00 |      7.00 |  0.601011 |  2.305341 |  9.54E-03 |     11.42 | 
|         1 |      1287 |  5.77E-01 |  0.928521 |  0.934661 |      8.00 |      7.00 |  0.216968 |  1.023834 |  9.42E-03 |     12.97 | 
|         1 |      1430 |  5.73E-01 |  0.928487 |  0.934661 |      8.00 |      7.00 |  0.115231 |  0.859354 |  9.29E-03 |     14.57 | 
|         1 |      1573 |  5.75E-01 |  0.928205 |  0.934661 |      8.00 |      7.00 |  0.098459 |  0.871680 |  9.15E-03 |     16.11 | 
|         1 |      1579 |  5.76E-01 |  0.928325 |  0.934661 |      8.00 |      7.00 |  0.091972 |  0.545713 |  9.14E-03 |     17.22 | 
|         2 |       143 |  5.40E-01 |  0.928125 |  0.934661 |      8.00 |      7.00 |  0.114367 |  1.290100 |  8.98E-03 |     17.70 | 
|         2 |       286 |  5.63E-01 |  0.928530 |  0.934661 |      8.00 |      7.00 |  0.063734 |  1.430381 |  8.82E-03 |     19.25 | 
|         2 |       429 |  5.74E-01 |  0.928448 |  0.934661 |      8.00 |      7.00 |  0.050177 |  0.995536 |  8.64E-03 |     20.79 | 
|         2 |       572 |  5.88E-01 |  0.928540 |  0.934661 |      8.00 |      7.00 |  0.078507 |  0.600489 |  8.45E-03 |     22.33 | 
|         2 |       715 |  5.91E-01 |  0.928229 |  0.934661 |      8.00 |      7.00 |  0.001822 |  1.304347 |  8.25E-03 |     23.88 | 
|         2 |       858 |  5.95E-01 |  0.928277 |  0.934661 |      8.00 |      7.00 |  0.001818 |  0.789716 |  8.05E-03 |     25.45 | 
|         2 |      1001 |  6.04E-01 |  0.928166 |  0.934661 |      8.00 |      7.00 |  0.001814 |  3.002526 |  7.83E-03 |     27.09 | 
|         2 |      1144 |  6.08E-01 |  0.928511 |  0.934661 |      8.00 |      7.00 |  0.001810 |  0.594866 |  7.61E-03 |     28.64 | 
|         2 |      1287 |  6.20E-01 |  0.928260 |  0.934661 |      8.00 |      7.00 |  0.001806 |  0.474986 |  7.38E-03 |     30.19 | 
|         2 |      1430 |  6.10E-01 |  0.928496 |  0.934661 |      8.00 |      7.00 |  0.001802 |  0.334007 |  7.14E-03 |     32.00 | 
|         2 |      1573 |  6.11E-01 |  0.928591 |  0.934661 |      8.00 |      7.00 |  0.001798 |  0.818285 |  6.90E-03 |     33.75 | 
