*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 14:09:34 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  4.40E-01 |  0.935594 |  0.935594 |     17.61 |     17.46 |  1.370183 |  2.237146 |  9.99E-03 |      1.00 | 
|         1 |       286 |  4.40E-01 |  0.939403 |  0.939403 |     23.15 |     23.55 |  0.591871 |  0.546983 |  9.97E-03 |      8.79 | 
|         1 |       429 |  4.39E-01 |  0.937827 |  0.939403 |     27.49 |     27.87 |  0.996346 |  0.777624 |  9.93E-03 |     17.55 | 
|         1 |       572 |  4.02E-01 |  0.938445 |  0.939403 |     30.13 |     30.59 |  1.089242 |  0.492385 |  9.88E-03 |     28.88 | 
|         1 |       715 |  4.04E-01 |  0.940853 |  0.940853 |     33.07 |     33.40 |  1.050125 |  0.776857 |  9.82E-03 |     39.56 | 
|         1 |       858 |  3.70E-01 |  0.945842 |  0.945842 |     35.79 |     36.04 |  5.423373 |  4.113928 |  9.74E-03 |     52.14 | 
|         1 |      1001 |  3.90E-01 |  0.942375 |  0.945842 |     37.62 |     37.88 |  4.431093 |  1.256260 |  9.65E-03 |     64.61 | 
|         1 |      1144 |  3.75E-01 |  0.948107 |  0.948107 |     37.35 |     37.69 |  1.921969 |  1.396097 |  9.54E-03 |     74.91 | 
|         1 |      1287 |  3.60E-01 |  0.942943 |  0.948107 |     36.98 |     37.39 |  1.479100 |  0.940698 |  9.42E-03 |     87.00 | 
|         1 |      1430 |  3.48E-01 |  0.951615 |  0.951615 |     36.98 |     37.47 |  1.346847 |  0.874773 |  9.29E-03 |     96.63 | 
|         1 |      1573 |  3.44E-01 |  0.948763 |  0.951615 |     37.06 |     37.56 |  1.840493 |  1.292430 |  9.15E-03 |    107.81 | 
|         1 |      1579 |  3.44E-01 |  0.952277 |  0.952277 |     37.04 |     37.55 |  1.746353 |  0.862924 |  9.14E-03 |    117.22 | 
|         2 |       143 |  2.89E-01 |  0.950010 |  0.952277 |     34.38 |     35.08 |  2.299416 |  6.224152 |  8.98E-03 |    118.67 | 
|         2 |       286 |       INF |  0.928237 |  0.952277 |     34.65 |     27.06 |       nan |  0.099753 |  8.82E-03 |    128.93 | 
-------------------------------------------------------------------------------------------------------------------------------------
